id,name,phone_number
supp_9dd697bd-ad20-4883-ae1b-3fce4e1d79d0,Pharma Depot Plus North,+33 145 41 38 27
supp_185aa4e0-6a5e-4dc5-83e4-5bcc6545212c,Health Products Express North,+33 921 85 64 14
supp_d4bc92ea-de71-455e-a187-6393eec95a04,MedSupply Co. North,+33 439 74 87 13
supp_91397320-dbe4-438f-96d0-ea514e8579f5,Health Supply Express South,+33 963 38 67 85
supp_ee39bd9b-eada-46dc-9cbc-cea801e5618c,MediCare Solutions North,+33 399 64 53 45
supp_5901184a-c433-4a5c-afa4-ca3f7a8ee6ff,MediSupply Network South,+33 623 21 58 22
supp_629cbb00-f83b-4631-b431-645e98b03f1e,Medical Distributors East,+33 515 68 78 25
supp_dbabd2aa-2061-4cc4-a8d7-e51b563a023f,Pharma Solutions Plus North,+33 947 90 89 56
supp_b886f38b-9914-4e90-8b08-4fc1ff60b4ea,MedSupply Network Pro South,+33 215 94 39 47
supp_9c91316a-cee1-4370-86bf-6709f6ec0786,Pharma Solutions South,+33 258 45 68 91
supp_8c0953a5-36b7-46ab-9944-68ea80a46641,Health Products Pro South,+33 655 36 95 44
supp_50cde88a-8223-450b-b15e-c0c64e16da2a,MedSupply Solutions Global,+33 287 91 31 78
supp_80d889d4-83e7-4de8-a1c0-8277e6821696,Medical Distributors Plus South,+33 369 58 44 91
supp_38c3d5f2-256c-41fa-8bd2-a8630d600d32,MedSupply Solutions International,+33 497 51 17 39
supp_e68aa7f3-3db5-41b6-945f-3fb6c6d523dd,Health Products Inc. East,+33 744 18 37 82
supp_a5523e72-61bc-427f-aae2-7d7898ab0e35,Pharma Warehouse Pro East,+33 493 73 60 92
supp_3343376b-28bf-4969-a9bc-6f208fd1d18d,Pharma Network Pro South,+33 527 41 81 78
supp_4b58b457-3dd5-4056-aff5-21a37816f946,Pharma Depot Global,+33 784 61 56 38
supp_62a03604-7bc2-475b-bfd8-5d033827a2aa,Pharma Direct International,+33 821 16 24 29
supp_08894394-dfbd-48dc-a31c-244871cf04e3,Pharma Depot Plus South,+33 786 18 59 58
supp_b7b51c38-4acb-4011-b289-e701f1b33545,Medical Products Express West,+33 942 80 11 97
supp_908a8a3c-ce3d-4707-839f-9848ddef1f0b,Medical Distributors Plus North,+33 944 92 53 24
supp_e67b3bea-bf61-4e18-8315-7d5b56d83954,Pharmaceutical Network West,+33 368 10 43 74
supp_fe70e558-0e53-4c84-ab46-990e3bbb2493,Pharma Solutions Network South,+33 923 90 48 91
supp_fc6f8be3-f58a-4dfa-a7fe-3c7925adcd31,Pharma Direct Pro International,+33 429 57 30 79
supp_deff357e-5932-4c55-a068-c00012f66179,MediCare Supply Pro International,+33 186 51 72 12
supp_2b041e00-a5db-4cc2-89a5-a7d73a8edd48,Health Warehouse East,+33 540 17 40 82
supp_d5f375af-e67c-4464-9fe9-daa48a9484ac,Pharma Solutions North,+33 818 78 26 26
supp_8ecbbac2-1bf5-4a57-81cb-01dcb7da8416,Pharmaceutical Network Pro West,+33 931 43 77 87
supp_35f40892-05d9-408c-87ef-240bea058443,Health Supply Network South,+33 998 35 49 61
supp_7d029e28-ee90-491f-a41d-05df779b0b95,Pharmaceutical Network Pro Global,+33 666 76 67 25
supp_73eb38d6-4c3f-42c6-a942-f12dd4ccae9d,Health Supply Chain South,+33 253 12 85 80
supp_5d5c8dc4-4b1d-4b42-ae78-ec3585c8c981,Medical Products Ltd International,+33 410 19 90 17
supp_840714d4-3c83-48be-ae3a-5b5a41bbe91f,Medical Products Ltd North,+33 152 19 75 40
supp_fe2b433e-0943-4aa4-b323-36278c4c3352,MediCare Solutions Global,+33 837 79 26 83
supp_e8d38a31-b2e5-4da5-93b5-48daf377e4dd,MedSupply Network Pro West,+33 470 62 34 22
supp_471ca8a6-50d9-459c-90ec-a0d47020b057,Medical Supply Pro Global,+33 755 64 62 69
supp_4ce09731-77c8-4179-b7ac-cddc579ce2f3,Medical Distributors Plus North,+33 217 61 53 23
supp_01185a22-5626-4783-b690-1e62b61f9c29,Health Supply Chain South,+33 478 67 27 64
supp_6c2407f9-6d57-4541-951d-3619f5d1e2ff,Health Distributors East,+33 841 19 66 80
supp_0ceab913-72bb-473f-9c7b-a1ce44d07cc2,Medical Supply Pro North,+33 911 21 40 31
supp_3bb7d000-99a7-4b24-af53-4881392aefd2,Pharmaceutical Depot West,+33 837 61 17 31
supp_f1bb5b29-deb8-4e8d-97b8-6739f63c16e4,Pharma Solutions Plus North,+33 743 68 46 64
supp_5ea12aa2-94a3-4698-be0a-db19bc71b50f,MedSupply Solutions Global,+33 994 72 29 34
supp_eb9c49ae-f097-40e1-991f-d1638df8cc10,Pharmaceutical Network South,+33 184 79 17 50
supp_22afd2d1-cf55-4859-a532-2cd6af22904a,Pharmaceutical Express North,+33 874 77 30 17
supp_9c49cb25-3120-46ab-981d-50f975b79268,Pharma Direct Pro North,+33 318 86 18 96
supp_9afb8436-9318-428f-8082-e582dc4dd916,Health Supply Chain West,+33 282 41 84 86
supp_d80d01d4-9649-4e53-86cd-dec0d52b3bb1,Health Products Inc. International,+33 263 94 84 82
supp_b5d870f6-883c-42f9-9db7-e3b1466cd66a,MediCare Warehouse East,+33 536 95 50 40
